Gene1,Gene2,Score
SUMO1,RPS29,261
SUMO1,PTMA,202
SUMO1,RPS17,128
SUMO1,TMBIM4,136
SUMO2,RPS29,764
SUMO2,PTMA,461
SUMO2,PSMB3,267
SUMO2,HEXA,254
SUMO2,CHCHD2,263
SUMO2,TMBIM4,265
SUMO2,LAMP1,496
SUMO2,PTP4A1,211
SUMO2,RPS7,268
SUMO2,ATP5F1,477
SUMO2,RPL27,166
SUMO2,IDH1,209
SUMO2,RPL9,115
SUMO2,MRPS18C,147
SUMO2,RPS8,180
SUMO2,HIST1H2BC,136
SUMO2,RPS17,115
SUMO2,ACTB,197
SUMO2,PLAUR,216
SUMO2,VPS28,139
SUMO2,RPL8,126
SUMO2,PSMA1,103
SUMO2,MAP1LC3B,151
SUMO2,PSMB5,166
SUMO2,CD24A,157
SUMO2,RPL26,128
SUMO2,GSTM1,256
SUMO2,RPS28,118
SUMO2,NDUFA7,118
SUMO2,POLDIP3,188
SUMO2,RPS11,179
SUMO2,H3F3A,132
